label,family,tuning_size,tuning_folds,selected_candidate_hash,configuration_hash,piece_count,beat_fmeasure,beat_cmlt,beat_amlt,downbeat_fmeasure,downbeat_cmlt,downbeat_amlt
1f_1,exhaustive_1f,1,1,93f40ad87602ae68d84c6d1d72e307c27a67cc94d2b508f619f3376df08ae7de,c3311ff6a0bfa0d0344838fdc923b7627ccbe32332a2fb9f17664c2804eca22a,993,0.8953434153195663,0.8106324836792859,0.9055207788131425,0.7908669649274843,0.7147934068928178,0.8525365103160145
1f_2,exhaustive_1f,1,2,99a99862abea8248ce12c6486ece9d222829d4a0d87a1451f542fa7d8536855e,5be2d0f5c6f59da2a378d4c9f53cb7e42ffc45707af8b8a1380bee87e190e748,993,0.8956930001643597,0.8095486226565665,0.9033610179482662,0.7925783674620164,0.7157154842456908,0.8509708787315051
1f_3,exhaustive_1f,1,3,02e78e97b3575ed22c4a68dcfc81f511bc3633ac348bf19828f51f4ed80f53aa,673f7dc9aab24d385aa78d96e59613dfdf3d08df31f4868f8e134d82204409b6,993,0.895700539354888,0.8095330706930717,0.9035358566279899,0.7927555747632296,0.7156805387445414,0.8509614432665288
1f_4,exhaustive_1f,1,4,c9b58fc4e32a1fcd463357f7adf6d9a5409bb428ed71bc6b9578383c6a67d08e,8296140de7df2ce9f389348f3f206cfcfbf041706fafcb6ee08db1ede3773a64,993,0.8958211143153093,0.812401192308211,0.9067601273413461,0.7923341797917445,0.7158609832946851,0.8558235129091231
1f_5,exhaustive_1f,1,5,5ae7853db9345eae791a827e2178f0ffa4574a12583ca0c52ae8faa89e5eecc7,8bf8a58ac25af7365d8cf85a2903701702866727ea736e40536a4940dc04f4f6,993,0.8951011556953687,0.8066483944362247,0.9000998315938498,0.7900307586952868,0.7134100406709695,0.8474034249933362
1f_6,exhaustive_1f,1,6,5449db395c98788f75d1c9169835e8deeff5c25cc7da68199a488f9e66217a64,4e9ba38be773530116ff8b1598997555fbeacc91f43f1a2be404c31459e18b7a,993,0.8956872201969618,0.809574352544667,0.9034914785044676,0.7922963726538375,0.7150764808399517,0.8514315974924423
1f_7,exhaustive_1f,1,7,653f3d357e6b4c512bcbc23898a498c6a99848064662301b22c619ec10718fe1,0c26435216c378415e0f6fb0e11ee26499c16f19af348869e76862f791e47d16,993,0.8951644317239907,0.8065563990547374,0.9003246227251381,0.7900621979762398,0.713384311113518,0.8469139927321947
2f_1_2,exhaustive_2f,2,"1,2",70843a30a69a606429c7501bcdc734becdf8d909b206f5ef421c651fb75f66e5,358256fc3791ffc975aa260f0f4dfd7cc25474c3976410fc60aea54abeaae238,993,0.8956640498736379,0.8094104271409185,0.9034922647257135,0.792086328883938,0.7151432971176125,0.8506235220208554
2f_1_3,exhaustive_2f,2,"1,3",8178e190c878986ab60533dcb2f17871f6b125943ba9905e572163eb9d2aefd3,25b411a7ecc93c5128004b996636c5c5c825f4d6f97d31a087aa3a92cbc2a862,993,0.8953632529838378,0.8107395861466852,0.9052421791251961,0.7921349922567584,0.7162381004607494,0.8528648713067255
2f_1_4,exhaustive_2f,2,"1,4",252f7adc4993a27ce00bdc1dad7e2b3f27228ec9dc04b8980d8c60817d32a6e4,c7c810f48e59b3ec70d519087706ab5c38f4152cc186018061a79ea33df16adf,993,0.8957508114420605,0.8121128238700507,0.9066666692227419,0.7926689107416661,0.7175564946606066,0.8549433123189191
2f_1_5,exhaustive_2f,2,"1,5",70843a30a69a606429c7501bcdc734becdf8d909b206f5ef421c651fb75f66e5,358256fc3791ffc975aa260f0f4dfd7cc25474c3976410fc60aea54abeaae238,993,0.8956640498736379,0.8094104271409185,0.9034922647257135,0.792086328883938,0.7151432971176125,0.8506235220208554
2f_1_6,exhaustive_2f,2,"1,6",93f40ad87602ae68d84c6d1d72e307c27a67cc94d2b508f619f3376df08ae7de,c3311ff6a0bfa0d0344838fdc923b7627ccbe32332a2fb9f17664c2804eca22a,993,0.8953434153195663,0.8106324836792859,0.9055207788131425,0.7908669649274843,0.7147934068928178,0.8525365103160145
