case,source,event_type,time_seconds
smc_221,GroundTruth,beat,0.685700000
smc_221,GroundTruth,beat,1.844800000
smc_221,GroundTruth,beat,3.028500000
smc_221,GroundTruth,beat,4.261200000
smc_221,GroundTruth,beat,5.608100000
smc_221,GroundTruth,beat,7.216300000
smc_221,GroundTruth,beat,8.718300000
smc_221,GroundTruth,beat,9.885700000
smc_221,GroundTruth,beat,11.053000000
smc_221,GroundTruth,beat,12.546000000
smc_221,GroundTruth,beat,14.106000000
smc_221,GroundTruth,beat,14.906000000
smc_221,GroundTruth,beat,16.138000000
smc_221,GroundTruth,beat,17.175000000
smc_221,GroundTruth,beat,18.318000000
smc_221,GroundTruth,beat,19.420000000
smc_221,GroundTruth,beat,20.506000000
smc_221,GroundTruth,beat,21.648000000
smc_221,GroundTruth,beat,22.742000000
smc_221,GroundTruth,beat,23.934000000
smc_221,GroundTruth,beat,25.044000000
smc_221,GroundTruth,beat,26.261000000
smc_221,GroundTruth,beat,27.379000000
smc_221,GroundTruth,beat,28.497000000
smc_221,GroundTruth,beat,29.608000000
smc_221,GroundTruth,beat,30.702000000
smc_221,GroundTruth,beat,31.812000000
smc_221,GroundTruth,beat,32.922000000
smc_221,GroundTruth,beat,34.130000000
smc_221,GroundTruth,beat,35.232000000
smc_221,GroundTruth,beat,36.612000000
smc_221,GroundTruth,beat,37.804000000
smc_221,GroundTruth,beat,38.897000000
smc_221,GroundTruth,beat,39.812000000
smc_221,Direct,beat,0.680000000
smc_221,Direct,beat,4.200000000
smc_221,Direct,beat,5.660000000
smc_221,Direct,beat,6.860000000
smc_221,Direct,beat,10.020000000
smc_221,Direct,beat,11.260000000
smc_221,Direct,beat,12.460000000
smc_221,Direct,beat,14.060000000
smc_221,Direct,beat,15.060000000
smc_221,Direct,beat,16.200000000
smc_221,Direct,beat,17.340000000
smc_221,Direct,beat,18.360000000
smc_221,Direct,beat,19.400000000
smc_221,Direct,beat,20.520000000
smc_221,Direct,beat,21.680000000
smc_221,Direct,beat,22.300000000
smc_221,Direct,beat,22.940000000
smc_221,Direct,beat,24.040000000
smc_221,Direct,beat,25.160000000
smc_221,Direct,beat,26.300000000
smc_221,Direct,beat,26.880000000
smc_221,Direct,beat,27.420000000
smc_221,Direct,beat,28.520000000
smc_221,Direct,beat,29.580000000
smc_221,Direct,beat,30.200000000
smc_221,Direct,beat,30.760000000
smc_221,Direct,beat,31.880000000
smc_221,Direct,beat,33.040000000
smc_221,Direct,beat,34.180000000
smc_221,Direct,beat,34.760000000
smc_221,Direct,beat,35.380000000
smc_221,Direct,beat,36.620000000
smc_221,Direct,beat,37.360000000
smc_221,Direct,downbeat,0.680000000
smc_221,Direct,downbeat,4.200000000
smc_221,Direct,downbeat,5.660000000
smc_221,Direct,downbeat,10.020000000
smc_221,Direct,downbeat,12.460000000
smc_221,Direct,downbeat,14.060000000
smc_221,Direct,downbeat,15.060000000
smc_221,Direct,downbeat,17.340000000
